Sentiment,Total_Trades,Total_Volume_USD,Avg_Trade_Size_USD,Median_Trade_Size_USD,Buy_Percentage,Unique_Traders,Total_Fees,Total_PnL,Avg_PnL,Win_Rate
Extreme Greed,39992,124465164.57000002,3112.2515645629132,500.05,44.85897179435887,30,27030.66546515,2715171.310673,130.20530910051312,89.16702632714717
Extreme Fear,21400,114484261.44,5349.7318429906545,766.15,51.09813084112149,32,23888.6339393869,739110.2484899999,71.02731582644627,76.21564482029598
Fear,61837,483324789.79,7816.109930785776,735.96,48.951275126542356,32,92456.9486741548,3357155.441642,112.62598770940687,87.28864734299518
Greed,50303,288582494.71999997,5736.884375086972,555.0,48.8559330457428,31,63098.6919791683,2150129.2729509994,85.40392727005876,76.89068954559897
Neutral,37686,180242063.08,4782.732661465797,547.655,50.33434166533991,31,39374.2683038708,1292920.67555,71.19999314664905,82.38889806707418
